First Name,Email Address,Company,Campaign Name,Sequence,Email Version,Target Segment,Pre Delivery Check Status,Pre Delivery Check Message,Mail Sent Status,Sent Timestamp,Message ID,Post Delivery Check Status,Post Delivery Check Message,Is Opened?,First Open Time,Link Clicked,Is Replied?,Reply Timestamp,Unsubscribed,Follow-Up Status
Alex,alex.1@acmecorp.com,Acme Corp,ACPT Outreach,1,V2,Enterprise,Failed,Invalid recipient data,Failed,,MSG-0001-1,Failed,Post-delivery verification failed,No,,No,No,,No,Not Required
Sarah,sarah.2@northstarsecurity.com,Northstar Security,Enterprise Red Team,1,V3,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-04 13:07:00,MSG-0002-1,Passed,Post-delivery verification passed,Yes,2026-08-04 14:15:00,Yes,Yes,2026-08-04 16:21:00,No,Completed
Sarah,sarah.2@northstarsecurity.com,Northstar Security,Enterprise Red Team,2,V1,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-06 14:07:00,MSG-0002-2,Passed,Post-delivery verification passed,No,,No,No,,No,Pending
Michael,michael.3@vertexlabs.com,Vertex Labs,AltSecCON 2026,1,V1,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-05 16:14:00,MSG-0003-1,Passed,Post-delivery verification passed,Yes,2026-08-05 17:25:00,No,No,,No,Pending
Michael,michael.3@vertexlabs.com,Vertex Labs,AltSecCON 2026,2,V2,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-07 17:14:00,MSG-0003-2,Passed,Post-delivery verification passed,Yes,2026-08-07 18:30:00,Yes,Yes,2026-08-07 20:42:00,No,Completed
Priya,priya.4@bluepeaksystems.com,BluePeak Systems,Azure Red Team,1,V2,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-06 10:21:00,MSG-0004-1,Passed,Post-delivery verification passed,No,,No,No,,No,Pending
Priya,priya.4@bluepeaksystems.com,BluePeak Systems,Azure Red Team,2,V3,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-01 11:21:00,MSG-0004-2,Passed,Post-delivery verification passed,Yes,2026-08-01 12:40:00,No,No,,No,Pending
Priya,priya.4@bluepeaksystems.com,BluePeak Systems,Azure Red Team,3,V1,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-03 12:21:00,MSG-0004-3,Passed,Post-delivery verification passed,Yes,2026-08-03 13:45:00,Yes,Yes,2026-08-03 16:03:00,No,Completed
Daniel,daniel.5@cybercore.com,CyberCore,Security Leadership,1,V3,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-07 13:28:00,MSG-0005-1,Passed,Post-delivery verification passed,Yes,2026-08-07 14:45:00,No,No,,No,Pending
Daniel,daniel.5@cybercore.com,CyberCore,Security Leadership,2,V1,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-02 14:28:00,MSG-0005-2,Passed,Post-delivery verification passed,Yes,2026-08-02 15:50:00,No,No,,No,Pending
Daniel,daniel.5@cybercore.com,CyberCore,Security Leadership,3,V2,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-04 15:28:00,MSG-0005-3,Passed,Post-delivery verification passed,No,,No,No,,Yes,Unsubscribed
Emily,emily.6@redshield.com,RedShield,ACPT Outreach,1,V1,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-01 16:35:00,MSG-0006-1,Passed,Post-delivery verification passed,Yes,2026-08-01 17:55:00,No,No,,No,Pending
Emily,emily.6@redshield.com,RedShield,ACPT Outreach,2,V2,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-03 17:35:00,MSG-0006-2,Passed,Post-delivery verification passed,Yes,2026-08-03 19:00:00,No,No,,No,Pending
Emily,emily.6@redshield.com,RedShield,ACPT Outreach,3,V3,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-05 09:35:00,MSG-0006-3,Passed,Post-delivery verification passed,Yes,2026-08-05 11:05:00,No,No,,No,Due
Emily,emily.6@redshield.com,RedShield,ACPT Outreach,4,V1,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-07 10:35:00,MSG-0006-4,Passed,Post-delivery verification passed,Yes,2026-08-07 12:10:00,No,No,,No,Due
James,james.7@cloudforge.com,CloudForge,Enterprise Red Team,1,V2,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-02 10:42:00,MSG-0007-1,Passed,Post-delivery verification passed,Yes,2026-08-02 12:05:00,No,No,,No,Pending
Olivia,olivia.8@datasecure.com,DataSecure,AltSecCON 2026,1,V3,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-03 13:49:00,MSG-0008-1,Passed,Post-delivery verification passed,Yes,2026-08-03 15:15:00,Yes,No,,No,Pending
Olivia,olivia.8@datasecure.com,DataSecure,AltSecCON 2026,2,V1,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-05 14:49:00,MSG-0008-2,Passed,Post-delivery verification passed,Yes,2026-08-05 16:20:00,No,No,,No,Pending
Arjun,arjun.9@irongate.com,IronGate,Azure Red Team,1,V1,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-04 16:56:00,MSG-0009-1,Passed,Post-delivery verification passed,No,,No,No,,No,Pending
Arjun,arjun.9@irongate.com,IronGate,Azure Red Team,2,V2,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-06 17:56:00,MSG-0009-2,Passed,Post-delivery verification passed,Yes,2026-08-06 19:30:00,Yes,No,,No,Pending
Sophia,sophia.10@novatech.com,NovaTech,Security Leadership,1,V2,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-05 10:03:00,MSG-0010-1,Passed,Post-delivery verification passed,Yes,2026-08-05 11:35:00,No,No,,No,Pending
Sophia,sophia.10@novatech.com,NovaTech,Security Leadership,2,V3,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-07 11:03:00,MSG-0010-2,Passed,Post-delivery verification passed,Yes,2026-08-07 12:40:00,No,No,,No,Pending
Sophia,sophia.10@novatech.com,NovaTech,Security Leadership,3,V1,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-02 12:03:00,MSG-0010-3,Passed,Post-delivery verification passed,No,,No,No,,No,Due
David,david.11@acmecorp.com,Acme Corp,ACPT Outreach,1,V3,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-06 13:10:00,MSG-0011-1,Passed,Post-delivery verification passed,Yes,2026-08-06 14:45:00,No,No,,No,Pending
David,david.11@acmecorp.com,Acme Corp,ACPT Outreach,2,V1,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-01 14:10:00,MSG-0011-2,Passed,Post-delivery verification passed,Yes,2026-08-01 15:50:00,No,No,,No,Pending
David,david.11@acmecorp.com,Acme Corp,ACPT Outreach,3,V2,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-03 15:10:00,MSG-0011-3,Passed,Post-delivery verification passed,Yes,2026-08-03 16:55:00,No,No,,No,Due
Emma,emma.12@northstarsecurity.com,Northstar Security,Enterprise Red Team,1,V1,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-07 16:17:00,MSG-0012-1,Passed,Post-delivery verification passed,Yes,2026-08-07 17:55:00,No,No,,No,Pending
Emma,emma.12@northstarsecurity.com,Northstar Security,Enterprise Red Team,2,V2,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-02 17:17:00,MSG-0012-2,Passed,Post-delivery verification passed,No,,No,No,,No,Pending
Emma,emma.12@northstarsecurity.com,Northstar Security,Enterprise Red Team,3,V3,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-04 09:17:00,MSG-0012-3,Passed,Post-delivery verification passed,Yes,2026-08-04 11:05:00,No,No,,No,Due
Emma,emma.12@northstarsecurity.com,Northstar Security,Enterprise Red Team,4,V1,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-06 10:17:00,MSG-0012-4,Passed,Post-delivery verification passed,Yes,2026-08-06 12:10:00,No,No,,No,Due
Ryan,ryan.13@vertexlabs.com,Vertex Labs,AltSecCON 2026,1,V2,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-01 10:24:00,MSG-0013-1,Passed,Post-delivery verification passed,Yes,2026-08-01 12:05:00,No,No,,No,Pending
Aisha,aisha.14@bluepeaksystems.com,BluePeak Systems,Azure Red Team,1,V3,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-02 13:31:00,MSG-0014-1,Passed,Post-delivery verification passed,No,,No,No,,No,Pending
Aisha,aisha.14@bluepeaksystems.com,BluePeak Systems,Azure Red Team,2,V1,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-04 14:31:00,MSG-0014-2,Passed,Post-delivery verification passed,Yes,2026-08-04 16:20:00,No,No,,No,Pending
Chris,chris.15@cybercore.com,CyberCore,Security Leadership,1,V1,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-03 16:38:00,MSG-0015-1,Passed,Post-delivery verification passed,Yes,2026-08-03 18:25:00,No,No,,No,Pending
Chris,chris.15@cybercore.com,CyberCore,Security Leadership,2,V2,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-05 17:38:00,MSG-0015-2,Passed,Post-delivery verification passed,Yes,2026-08-05 19:30:00,Yes,No,,No,Pending
Maya,maya.16@redshield.com,RedShield,ACPT Outreach,1,V2,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-04 10:45:00,MSG-0016-1,Passed,Post-delivery verification passed,Yes,2026-08-04 12:35:00,No,No,,No,Pending
